No;User_id;User_Name;Item_id;Item_name;Rating;PostDate;Bintang_Hotel
135;544;andri Wijaya;1;Eastparc Hotel Yogyakarta;4.4;29/11/2021;5
136;6314;Wulan Puspita Ratri;1;Eastparc Hotel Yogyakarta;5.0;29/11/2021;5
137;6562;YW;1;Eastparc Hotel Yogyakarta;5.0;26/11/2021;5
138;4355;novirta Ita;1;Eastparc Hotel Yogyakarta;4.0;26/11/2021;5
139;1287;CR;1;Eastparc Hotel Yogyakarta;5.0;25/11/2021;5
140;3000;Indry Wahyuni;1;Eastparc Hotel Yogyakarta;5.0;25/11/2021;5
141;1126;BS;1;Eastparc Hotel Yogyakarta;3.6;24/11/2021;5
142;2567;HA;1;Eastparc Hotel Yogyakarta;5.0;23/11/2021;5
143;1778;Dwi Arga;1;Eastparc Hotel Yogyakarta;5.0;23/11/2021;5
144;2954;IN;1;Eastparc Hotel Yogyakarta;4.8;23/11/2021;5
145;5198;romy hari pujianto;1;Eastparc Hotel Yogyakarta;4.8;20/11/2021;5
146;3403;KS;1;Eastparc Hotel Yogyakarta;5.0;04/11/2021;5
147;551;Andrie Willyanto;1;Eastparc Hotel Yogyakarta;4.0;04/11/2021;5
148;95;Adi Henri Setiawan;1;Eastparc Hotel Yogyakarta;5.0;01/11/2021;5
149;2369;Fitria Rahma Sari;1;Eastparc Hotel Yogyakarta;4.4;29/10/2021;5
150;1011;Barbara Kusumaningrum;1;Eastparc Hotel Yogyakarta;3.6;28/10/2021;5
151;3381;KR;1;Eastparc Hotel Yogyakarta;4.4;26/10/2021;5
152;5949;Tri Hapsari;1;Eastparc Hotel Yogyakarta;4.6;14/10/2021;5
153;2317;FI;1;Eastparc Hotel Yogyakarta;4.0;07/10/2021;5
154;1137;Budi Santoso;1;Eastparc Hotel Yogyakarta;3.2;30/09/2021;5
155;5158;RM;1;Eastparc Hotel Yogyakarta;5.0;29/09/2021;5
156;3581;LN;1;Eastparc Hotel Yogyakarta;5.0;21/09/2021;5
157;1345;danny lesmana;1;Eastparc Hotel Yogyakarta;4.4;21/09/2021;5
158;2660;Haryo Nur Achmad;1;Eastparc Hotel Yogyakarta;5.0;18/09/2021;5
159;4962;Rian Subianto;1;Eastparc Hotel Yogyakarta;4.4;12/09/2021;5
160;2441;GA;1;Eastparc Hotel Yogyakarta;5.0;10/09/2021;5
161;4516;ON;1;Eastparc Hotel Yogyakarta;4.2;08/09/2021;5
162;428;Ambrosius Alexander Sutanto;2;Grand Ambarrukmo Yogyakarta;5.0;28/03/2020;4
163;1847;EA;2;Grand Ambarrukmo Yogyakarta;5.0;22/01/2021;4
164;4595;PM;2;Grand Ambarrukmo Yogyakarta;5.0;07/11/2020;4
165;4943;RH;2;Grand Ambarrukmo Yogyakarta;4.2;29/03/2020;4
166;1598;Dian Ardhi;2;Grand Ambarrukmo Yogyakarta;4.8;16/03/2020;4
167;2293;Fernando Christ Rumagit;2;Grand Ambarrukmo Yogyakarta;5.0;13/02/2022;4
168;1111;BP;2;Grand Ambarrukmo Yogyakarta;5.0;23/01/2022;4
169;3693;Makhfudl Budi Wicaksono;2;Grand Ambarrukmo Yogyakarta;5.0;12/12/2021;4
170;1526;Dewi Irawan;2;Grand Ambarrukmo Yogyakarta;5.0;05/12/2021;4
171;2413;Fredy Hari Purnomo;2;Grand Ambarrukmo Yogyakarta;5.0;24/11/2021;4
172;2907;Ika Rachmawati;2;Grand Ambarrukmo Yogyakarta;5.0;23/11/2021;4
173;4584;Pindi Setiawan;2;Grand Ambarrukmo Yogyakarta;5.0;18/06/2111;4
174;6327;Yafet Ferdinand;2;Grand Ambarrukmo Yogyakarta;5.0;18/04/2111;4
175;65;Ade  Paulus Hardono;2;Grand Ambarrukmo Yogyakarta;5.0;28/06/2021;4
176;1144;Budiadi Widjaya;2;Grand Ambarrukmo Yogyakarta;5.0;18/06/2021;4
177;3381;KR;2;Grand Ambarrukmo Yogyakarta;5.0;03/06/2021;4
178;4361;Novita Dwi Ariningrum;2;Grand Ambarrukmo Yogyakarta;5.0;26/05/2021;4
179;2125;EW;2;Grand Ambarrukmo Yogyakarta;3.8;10/05/2021;4
180;125;Aditya Cahya Pramana;2;Grand Ambarrukmo Yogyakarta;5.0;07/04/2021;4
181;1555;DH;2;Grand Ambarrukmo Yogyakarta;5.0;22/03/2021;4
182;6276;Wira Wira;2;Grand Ambarrukmo Yogyakarta;5.0;26/01/2021;4
183;5108;Rizal Nurcahyanto;2;Grand Ambarrukmo Yogyakarta;4.4;04/01/2021;4
184;2903;Ika Nurania;2;Grand Ambarrukmo Yogyakarta;3.8;18/11/2020;4
185;2561;GW;2;Grand Ambarrukmo Yogyakarta;5.0;27/02/2020;4
186;2395;FRANS SAMUEL SIMALANGO;2;Grand Ambarrukmo Yogyakarta;4.8;01/02/2020;4
187;361;Alex Darmawan;2;Grand Ambarrukmo Yogyakarta;5.0;26/01/2020;4
188;2719;HENI AMBARWATI;2;Grand Ambarrukmo Yogyakarta;4.6;07/01/2020;4
189;3010;Ingrid Gandari;2;Grand Ambarrukmo Yogyakarta;4.4;30/12/2019;4
190;4849;RD;2;Grand Ambarrukmo Yogyakarta;5.0;30/12/2019;4
191;6061;vellicia vellicia;2;Grand Ambarrukmo Yogyakarta;5.0;21/12/2019;4
192;4226;ND;2;Grand Ambarrukmo Yogyakarta;5.0;02/10/2019;4
193;3543;lily lily;2;Grand Ambarrukmo Yogyakarta;5.0;17/08/2019;4
194;3773;Maulinda isnania;2;Grand Ambarrukmo Yogyakarta;4.0;11/04/2022;4
195;4375;NP;2;Grand Ambarrukmo Yogyakarta;5.0;11/04/2022;4
196;205;Agung Mahendra;2;Grand Ambarrukmo Yogyakarta;5.0;10/04/2022;4
197;6309;wulan aristyaningsih;2;Grand Ambarrukmo Yogyakarta;4.0;09/04/2022;4
198;4363;Novita Hartono;2;Grand Ambarrukmo Yogyakarta;5.0;09/04/2022;4
199;1764;DS;2;Grand Ambarrukmo Yogyakarta;5.0;08/04/2022;4
200;5156;RK;2;Grand Ambarrukmo Yogyakarta;4.0;06/04/2022;4
201;3958;MT;2;Grand Ambarrukmo Yogyakarta;4.0;06/04/2022;4
202;2092;ET;2;Grand Ambarrukmo Yogyakarta;4.0;06/04/2022;4
203;1153;BW;2;Grand Ambarrukmo Yogyakarta;5.0;05/04/2022;4
204;2731;Henry Heryanto;2;Grand Ambarrukmo Yogyakarta;5.0;04/04/2022;4
205;1544;Dewi Trisnawati;2;Grand Ambarrukmo Yogyakarta;5.0;02/04/2022;4
206;5229;RR;2;Grand Ambarrukmo Yogyakarta;5.0;01/04/2022;4
207;4304;NK;2;Grand Ambarrukmo Yogyakarta;5.0;31/03/2022;4
208;5982;TT;2;Grand Ambarrukmo Yogyakarta;4.0;30/03/2022;4
209;5605;Soraya annisa putri;2;Grand Ambarrukmo Yogyakarta;5.0;28/03/2022;4
210;157;AE;2;Grand Ambarrukmo Yogyakarta;4.6;28/03/2022;4
211;3965;Muchamad Irwana;2;Grand Ambarrukmo Yogyakarta;4.6;24/03/2022;4
212;4862;Rega Satya Rachellarimy;2;Grand Ambarrukmo Yogyakarta;5.0;23/03/2022;4
